Area;Area Id;Variable Name;Variable Id;Year;Value;Symbol;Md
ATG|Antigua and Barbuda;8;Total population;4104;1962;56,31;E;
ATG|Antigua and Barbuda;8;Total population;4104;1967;62;E;
ATG|Antigua and Barbuda;8;Total population;4104;1972;67,2;E;
ATG|Antigua and Barbuda;8;Total population;4104;1977;70,22;E;
ATG|Antigua and Barbuda;8;Total population;4104;1982;68,95;E;
ATG|Antigua and Barbuda;8;Total population;4104;1987;63,48;E;
ATG|Antigua and Barbuda;8;Total population;4104;1992;63,43;E;
ATG|Antigua and Barbuda;8;Total population;4104;1997;72,23;E;
ATG|Antigua and Barbuda;8;Total population;4104;2002;80,03;E;
ATG|Antigua and Barbuda;8;Total population;4104;2007;84,4;E;
ATG|Antigua and Barbuda;8;Total population;4104;2012;89,07;E;
ATG|Antigua and Barbuda;8;Total population;4104;2015;91,82;E;
ARG|Argentina;9;Total population;4104;1962;21288;E;
ARG|Argentina;9;Total population;4104;1967;22932;E;
ARG|Argentina;9;Total population;4104;1972;24783;E;
ARG|Argentina;9;Total population;4104;1977;26879;E;
ARG|Argentina;9;Total population;4104;1982;28994;E;
ARG|Argentina;9;Total population;4104;1987;31326;E;
ARG|Argentina;9;Total population;4104;1992;33655;E;
ARG|Argentina;9;Total population;4104;1997;35834;E;
ARG|Argentina;9;Total population;4104;2002;37889;E;
ARG|Argentina;9;Total population;4104;2007;39970;E;
ARG|Argentina;9;Total population;4104;2012;42095;E;
ARG|Argentina;9;Total population;4104;2015;43417;E;
BHS|Bahamas;12;Total population;4104;1962;121,1;E;
BHS|Bahamas;12;Total population;4104;1967;152,6;E;
BHS|Bahamas;12;Total population;4104;1972;177,8;E;
BHS|Bahamas;12;Total population;4104;1977;197,1;E;
BHS|Bahamas;12;Total population;4104;1982;220,3;E;
BHS|Bahamas;12;Total population;4104;1987;243,4;E;
BHS|Bahamas;12;Total population;4104;1992;266,1;E;
BHS|Bahamas;12;Total population;4104;1997;287;E;
BHS|Bahamas;12;Total population;4104;2002;309,2;E;
BHS|Bahamas;12;Total population;4104;2007;342,3;E;
BHS|Bahamas;12;Total population;4104;2012;372,4;E;
BHS|Bahamas;12;Total population;4104;2015;388;E;
