Area;Area Id;Variable Name;Variable Id;Year;Value;Symbol;Md
Bolivia (Plurinational State of);19;Total population;4104;1962;3838;E;
Bolivia (Plurinational State of);19;Total population;4104;1967;4237;E;
Bolivia (Plurinational State of);19;Total population;4104;1972;4698;E;
Bolivia (Plurinational State of);19;Total population;4104;1977;5234;E;
Bolivia (Plurinational State of);19;Total population;4104;1982;5835;E;
Bolivia (Plurinational State of);19;Total population;4104;1987;6465;E;
Bolivia (Plurinational State of);19;Total population;4104;1992;7132;E;
Bolivia (Plurinational State of);19;Total population;4104;1997;7871;E;
Bolivia (Plurinational State of);19;Total population;4104;2002;8653;E;
Bolivia (Plurinational State of);19;Total population;4104;2007;9441;E;
Bolivia (Plurinational State of);19;Total population;4104;2012;10239;E;
Bolivia (Plurinational State of);19;Total population;4104;2015;10725;E;
Bolivia (Plurinational State of);19;Rural population;4105;1962;2528;E;
Bolivia (Plurinational State of);19;Rural population;4105;1967;2711;E;
Bolivia (Plurinational State of);19;Rural population;4105;1972;2909;E;
Bolivia (Plurinational State of);19;Rural population;4105;1977;3111;E;
Bolivia (Plurinational State of);19;Rural population;4105;1982;3163;E;
Bolivia (Plurinational State of);19;Rural population;4105;1987;3138;E;
Bolivia (Plurinational State of);19;Rural population;4105;1992;3033;E;
Bolivia (Plurinational State of);19;Rural population;4105;1997;3054;E;
Bolivia (Plurinational State of);19;Rural population;4105;2002;3100;E;
Bolivia (Plurinational State of);19;Rural population;4105;2007;3141;E;
Bolivia (Plurinational State of);19;Rural population;4105;2012;3177;E;
Bolivia (Plurinational State of);19;Rural population;4105;2015;3172;E;
Bolivia (Plurinational State of);19;Urban population;4106;1962;1310;E;
Bolivia (Plurinational State of);19;Urban population;4106;1967;1526;E;
Bolivia (Plurinational State of);19;Urban population;4106;1972;1789;E;
Bolivia (Plurinational State of);19;Urban population;4106;1977;2123;E;
Bolivia (Plurinational State of);19;Urban population;4106;1982;2672;E;
Bolivia (Plurinational State of);19;Urban population;4106;1987;3327;E;
Bolivia (Plurinational State of);19;Urban population;4106;1992;4099;E;
Bolivia (Plurinational State of);19;Urban population;4106;1997;4817;E;
Bolivia (Plurinational State of);19;Urban population;4106;2002;5553;E;
Bolivia (Plurinational State of);19;Urban population;4106;2007;6300;E;
Bolivia (Plurinational State of);19;Urban population;4106;2012;7062;E;
Bolivia (Plurinational State of);19;Urban population;4106;2015;7553;E;
Bolivia (Plurinational State of);19;Population density;4107;1962;3,494;E;
Bolivia (Plurinational State of);19;Population density;4107;1967;3,857;E;
Bolivia (Plurinational State of);19;Population density;4107;1972;4,276;E;
Bolivia (Plurinational State of);19;Population density;4107;1977;4,764;E;
Bolivia (Plurinational State of);19;Population density;4107;1982;5,311;E;
Bolivia (Plurinational State of);19;Population density;4107;1987;5,885;E;
Bolivia (Plurinational State of);19;Population density;4107;1992;6,492;E;
Bolivia (Plurinational State of);19;Population density;4107;1997;7,165;E;
Bolivia (Plurinational State of);19;Population density;4107;2002;7,877;E;
Bolivia (Plurinational State of);19;Population density;4107;2007;8,594;E;
Bolivia (Plurinational State of);19;Population density;4107;2012;9,32;E;
Bolivia (Plurinational State of);19;Population density;4107;2016;9,763;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;1972;20,19;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;1977;20,85;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;1982;17,63;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;1987;17,72;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;1992;16,03;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;1997;17,24;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;2002;14,9;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;2007;12,88;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;2012;12,92;E;
Bolivia (Plurinational State of);19;Agriculture, value added (% GDP);4113;2014;12,99;E;
Bolivia (Plurinational State of);19;Gender Inequality Index (GII) [equality = 0;;;;;
Bolivia (Plurinational State of);19;Gender Inequality Index (GII) [equality = 0;;;;;
Bolivia (Plurinational State of);19;Gender Inequality Index (GII) [equality = 0;;;;;
Bolivia (Plurinational State of);19;Gender Inequality Index (GII) [equality = 0;;;;;
Bolivia (Plurinational State of);19;Prevalence of undernourishment (3-year average);4474;1992;38;E;
Bolivia (Plurinational State of);19;Prevalence of undernourishment (3-year average);4474;1997;33,7;E;
Bolivia (Plurinational State of);19;Prevalence of undernourishment (3-year average);4474;2002;32,8;E;
Bolivia (Plurinational State of);19;Prevalence of undernourishment (3-year average);4474;2007;29,9;E;
Bolivia (Plurinational State of);19;Prevalence of undernourishment (3-year average);4474;2012;24,5;E;
Bolivia (Plurinational State of);19;Prevalence of undernourishment (3-year average);4474;2016;15,9;E;
Bolivia (Plurinational State of);19;Number of people undernourished (3-year average);4473;1992;2600;E;
Bolivia (Plurinational State of);19;Number of people undernourished (3-year average);4473;1997;2600;E;
Bolivia (Plurinational State of);19;Number of people undernourished (3-year average);4473;2002;2800;E;
Bolivia (Plurinational State of);19;Number of people undernourished (3-year average);4473;2007;2800;E;
Bolivia (Plurinational State of);19;Number of people undernourished (3-year average);4473;2012;2500;E;
Bolivia (Plurinational State of);19;Number of people undernourished (3-year average);4473;2016;1800;E;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;1962;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;1967;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;1972;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;1977;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;1982;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;1987;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;1992;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;1997;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;2002;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;2007;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;2012;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in depth;4151;2014;1146;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;1962;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;1967;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;1972;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;1977;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;1982;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;1987;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;1992;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;1997;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;2002;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;2007;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;2012;1259;;
Bolivia (Plurinational State of);19;Long-term average annual precipitation in volume;4150;2016;1259;K;
Bolivia (Plurinational State of);19;National Rainfall Index (NRI);4472;1967;1435;E;
Bolivia (Plurinational State of);19;National Rainfall Index (NRI);4472;1970;1461;E;
Bolivia (Plurinational State of);19;National Rainfall Index (NRI);4472;1976;1671;E;
Bolivia (Plurinational State of);19;National Rainfall Index (NRI);4472;1978;1796;E;
Bolivia (Plurinational State of);19;National Rainfall Index (NRI);4472;1984;1726;E;
Bolivia (Plurinational State of);19;National Rainfall Index (NRI);4472;1990;1538;E;
Bolivia (Plurinational State of);19;National Rainfall Index (NRI);4472;1995;1490;E;
Bolivia (Plurinational State of);19;National Rainfall Index (NRI);4472;2001;1503;E;
Bolivia (Plurinational State of);19;Interannual variability (WRI);4541;2013;2,5;E;
Bolivia (Plurinational State of);19;Seasonal variability (WRI);4542;2013;3,1;E;
Bolivia (Plurinational State of);19;Total dam capacity;4197;1960;0,2785;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;1965;0,2796;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;1970;0,2808;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;1975;0,2808;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;1980;0,2937;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;1985;0,2948;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;1990;0,5294;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;1995;0,558;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;2000;0,5597;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;2005;0,5749;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;2010;0,5906;L;
Bolivia (Plurinational State of);19;Total dam capacity;4197;2015;0,5951;L;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;1960;72,56;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;1965;65,99;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;1970;59,77;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;1975;53,65;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;1980;50,33;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;1985;45,6;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;1990;74,23;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;1995;70,89;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;2000;64,68;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;2005;60,89;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;2010;57,68;K;
Bolivia (Plurinational State of);19;Dam capacity per capita;4471;2015;55,49;K;
Bolivia (Plurinational State of);19;Agricultural water withdrawal;4250;1987;1,054;;
Bolivia (Plurinational State of);19;Agricultural water withdrawal;4250;1999;1,777;L;[1]
Bolivia (Plurinational State of);19;Agricultural water withdrawal;4250;2008;1,92;I;
Bolivia (Plurinational State of);19;Industrial water withdrawal;4252;1987;0,062;;
Bolivia (Plurinational State of);19;Industrial water withdrawal;4252;2009;0,032;;
Bolivia (Plurinational State of);19;Municipal water withdrawal;4251;1987;0,124;;
Bolivia (Plurinational State of);19;Municipal water withdrawal;4251;2009;0,136;;
Bolivia (Plurinational State of);19;Total water withdrawal;4253;1987;1,24;;
Bolivia (Plurinational State of);19;Total water withdrawal;4253;2009;2,088;I;
Bolivia (Plurinational State of);19;Irrigation water withdrawal;4475;1999;1,777;L;
Bolivia (Plurinational State of);19;Irrigation water requirement;4260;1999;0,6884;L;
Bolivia (Plurinational State of);19;Agricultural water withdrawal as % of total water withdrawal;4254;1987;85;;
Bolivia (Plurinational State of);19;Agricultural water withdrawal as % of total water withdrawal;4254;2009;91,95;I;
Bolivia (Plurinational State of);19;Industrial water withdrawal as % of total water withdrawal;4256;1987;5;;
Bolivia (Plurinational State of);19;Industrial water withdrawal as % of total water withdrawal;4256;2009;1,533;I;
