Area;Area Id;Variable Name;Variable Id;Year;Value;Symbol;Md
AFG|Afghanistan;2;Total population;4104;1962;9344;E;
AFG|Afghanistan;2;Total population;4104;1967;10369;E;
AFG|Afghanistan;2;Total population;4104;1972;11717;E;
AFG|Afghanistan;2;Total population;4104;1977;13056;E;
AFG|Afghanistan;2;Total population;4104;1982;12667;E;
AFG|Afghanistan;2;Total population;4104;1987;11338;E;
AFG|Afghanistan;2;Total population;4104;1992;13746;E;
AFG|Afghanistan;2;Total population;4104;1997;18034;E;
AFG|Afghanistan;2;Total population;4104;2002;21487;E;
AFG|Afghanistan;2;Total population;4104;2007;25878;E;
AFG|Afghanistan;2;Total population;4104;2012;29727;E;
AFG|Afghanistan;2;Total population;4104;2015;32527;E;
ARM|Armenia;1;Total population;4104;1992;3450;E;
ARM|Armenia;1;Total population;4104;1997;3138;E;
ARM|Armenia;1;Total population;4104;2002;3047;E;
ARM|Armenia;1;Total population;4104;2007;2988;E;
ARM|Armenia;1;Total population;4104;2012;2978;E;
ARM|Armenia;1;Total population;4104;2015;3018;E;
AZE|Azerbaijan;52;Total population;4104;1992;7451;E;
AZE|Azerbaijan;52;Total population;4104;1997;7922;E;
AZE|Azerbaijan;52;Total population;4104;2002;8281;E;
AZE|Azerbaijan;52;Total population;4104;2007;8763;E;
AZE|Azerbaijan;52;Total population;4104;2012;9361;E;
AZE|Azerbaijan;52;Total population;4104;2015;9754;E;
BHR|Bahrain;13;Total population;4104;1962;173,1;E;
BHR|Bahrain;13;Total population;4104;1967;196,2;E;
BHR|Bahrain;13;Total population;4104;1972;229,6;E;
BHR|Bahrain;13;Total population;4104;1977;303,2;E;
BHR|Bahrain;13;Total population;4104;1982;386;E;
BHR|Bahrain;13;Total population;4104;1987;449;E;
BHR|Bahrain;13;Total population;4104;1992;522,8;E;
BHR|Bahrain;13;Total population;4104;1997;597,8;E;
BHR|Bahrain;13;Total population;4104;2002;725,4;E;
BHR|Bahrain;13;Total population;4104;2007;1027;E;
BHR|Bahrain;13;Total population;4104;2012;1334;E;
BHR|Bahrain;13;Total population;4104;2015;1377;E;
BGD|Bangladesh;16;Total population;4104;1962;51031;E;
BGD|Bangladesh;16;Total population;4104;1967;59625;E;
BGD|Bangladesh;16;Total population;4104;1972;67578;E;
BGD|Bangladesh;16;Total population;4104;1977;74848;E;
BGD|Bangladesh;16;Total population;4104;1982;85868;E;
BGD|Bangladesh;16;Total population;4104;1987;98149;E;
BGD|Bangladesh;16;Total population;4104;1992;110987;E;
BGD|Bangladesh;16;Total population;4104;1997;123574;E;
BGD|Bangladesh;16;Total population;4104;2002;136228;E;
BGD|Bangladesh;16;Total population;4104;2007;146593;E;
BGD|Bangladesh;16;Total population;4104;2012;155257;E;
BGD|Bangladesh;16;Total population;4104;2015;160996;E;
BTN|Bhutan;18;Total population;4104;1962;234,7;E;
BTN|Bhutan;18;Total population;4104;1967;266,3;E;
BTN|Bhutan;18;Total population;4104;1972;312,7;E;
BTN|Bhutan;18;Total population;4104;1977;374,8;E;
BTN|Bhutan;18;Total population;4104;1982;434,4;E;
BTN|Bhutan;18;Total population;4104;1987;501;E;
BTN|Bhutan;18;Total population;4104;1992;528,1;E;
BTN|Bhutan;18;Total population;4104;1997;520,9;E;
BTN|Bhutan;18;Total population;4104;2002;598,4;E;
BTN|Bhutan;18;Total population;4104;2007;681,5;E;
BTN|Bhutan;18;Total population;4104;2012;743,7;E;
BTN|Bhutan;18;Total population;4104;2015;774,8;E;
BRN|Brunei Darussalam;26;Total population;4104;1962;89,6;E;
BRN|Brunei Darussalam;26;Total population;4104;1967;112,7;E;
BRN|Brunei Darussalam;26;Total population;4104;1972;141,8;E;
BRN|Brunei Darussalam;26;Total population;4104;1977;173,8;E;
BRN|Brunei Darussalam;26;Total population;4104;1982;205,1;E;
BRN|Brunei Darussalam;26;Total population;4104;1987;236;E;
BRN|Brunei Darussalam;26;Total population;4104;1992;272;E;
BRN|Brunei Darussalam;26;Total population;4104;1997;309,8;E;
BRN|Brunei Darussalam;26;Total population;4104;2002;343,4;E;
BRN|Brunei Darussalam;26;Total population;4104;2007;374,5;E;
BRN|Brunei Darussalam;26;Total population;4104;2012;405,5;E;
BRN|Brunei Darussalam;26;Total population;4104;2015;423,2;E;
KHM|Cambodia;115;Total population;4104;1962;6027;E;
KHM|Cambodia;115;Total population;4104;1967;6695;E;
KHM|Cambodia;115;Total population;4104;1972;7331;E;
KHM|Cambodia;115;Total population;4104;1977;7222;E;
KHM|Cambodia;115;Total population;4104;1982;6945;E;
KHM|Cambodia;115;Total population;4104;1987;8228;E;
KHM|Cambodia;115;Total population;4104;1992;9659;E;
KHM|Cambodia;115;Total population;4104;1997;11339;E;
KHM|Cambodia;115;Total population;4104;2002;12682;E;
KHM|Cambodia;115;Total population;4104;2007;13729;E;
KHM|Cambodia;115;Total population;4104;2012;14832;E;
KHM|Cambodia;115;Total population;4104;2015;15578;E;
CHN|China;351;Total population;4104;1962;680242;E;
CHN|China;351;Total population;4104;1967;761820;E;
CHN|China;351;Total population;4104;1972;869313;E;
CHN|China;351;Total population;4104;1977;958194;E;
CHN|China;351;Total population;4104;1982;1029247;E;
CHN|China;351;Total population;4104;1987;1118196;E;
CHN|China;351;Total population;4104;1992;1215354;E;
CHN|China;351;Total population;4104;1997;1275559;E;
CHN|China;351;Total population;4104;2002;1313904;E;
CHN|China;351;Total population;4104;2007;1349939;E;
CHN|China;351;Total population;4104;2012;1386350;E;
CHN|China;351;Total population;4104;2015;1407306;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;1962;11872;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;1967;13222;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;1972;15215;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;1977;16759;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;1982;17899;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;1987;19335;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;1992;20838;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;1997;22241;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;2002;23248;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;2007;24112;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;2012;24763;E;
PRK|Democratic People's Republic of Korea;116;Total population;4104;2015;25155;E;
GEO|Georgia;73;Total population;4104;1992;5346;E;
GEO|Georgia;73;Total population;4104;1997;4921;E;
GEO|Georgia;73;Total population;4104;2002;4630;E;
GEO|Georgia;73;Total population;4104;2007;4386;E;
GEO|Georgia;73;Total population;4104;2012;4139;E;
GEO|Georgia;73;Total population;4104;2015;4000;E;
IND|India;100;Total population;4104;1962;468054;E;
IND|India;100;Total population;4104;1967;519162;E;
IND|India;100;Total population;4104;1972;579801;E;
IND|India;100;Total population;4104;1977;650908;E;
IND|India;100;Total population;4104;1982;730303;E;
IND|India;100;Total population;4104;1987;817232;E;
IND|India;100;Total population;4104;1992;906461;E;
IND|India;100;Total population;4104;1997;997817;E;
IND|India;100;Total population;4104;2002;1090189;E;
IND|India;100;Total population;4104;2007;1179686;E;
IND|India;100;Total population;4104;2012;1263590;E;
IND|India;100;Total population;4104;2015;1311051;E;
IDN|Indonesia;101;Total population;4104;1962;92558;E;
IDN|Indonesia;101;Total population;4104;1967;105907;E;
IDN|Indonesia;101;Total population;4104;1972;121060;E;
IDN|Indonesia;101;Total population;4104;1977;137322;E;
IDN|Indonesia;101;Total population;4104;1982;154506;E;
IDN|Indonesia;101;Total population;4104;1987;171729;E;
IDN|Indonesia;101;Total population;4104;1992;187762;E;
IDN|Indonesia;101;Total population;4104;1997;202854;E;
IDN|Indonesia;101;Total population;4104;2002;217369;E;
IDN|Indonesia;101;Total population;4104;2007;232297;E;
IDN|Indonesia;101;Total population;4104;2012;248038;E;
IDN|Indonesia;101;Total population;4104;2015;257564;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;1962;23071;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;1967;26318;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;1972;30074;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;1977;34814;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;1982;41862;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;1987;51152;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;1992;58130;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;1997;62426;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;2002;67697;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;2007;71721;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;2012;76157;E;
IRN|Iran (Islamic Republic of);102;Total population;4104;2015;79109;E;
IRQ|Iraq;103;Total population;4104;1962;7674;E;
IRQ|Iraq;103;Total population;4104;1967;8947;E;
IRQ|Iraq;103;Total population;4104;1972;10600;E;
IRQ|Iraq;103;Total population;4104;1977;12461;E;
IRQ|Iraq;103;Total population;4104;1982;14438;E;
IRQ|Iraq;103;Total population;4104;1987;16294;E;
IRQ|Iraq;103;Total population;4104;1992;18469;E;
IRQ|Iraq;103;Total population;4104;1997;21519;E;
IRQ|Iraq;103;Total population;4104;2002;24944;E;
IRQ|Iraq;103;Total population;4104;2007;28424;E;
