Area;Area Id;Variable Name;Variable Id;Year;Value;Symbol;Md
ALB|Albania;3;Total population;4104;1962;1738;E;
ALB|Albania;3;Total population;4104;1967;1999;E;
ALB|Albania;3;Total population;4104;1972;2254;E;
ALB|Albania;3;Total population;4104;1977;2518;E;
ALB|Albania;3;Total population;4104;1982;2788;E;
ALB|Albania;3;Total population;4104;1987;3121;E;
ALB|Albania;3;Total population;4104;1992;3241;E;
ALB|Albania;3;Total population;4104;1997;3092;E;
ALB|Albania;3;Total population;4104;2002;3123;E;
ALB|Albania;3;Total population;4104;2007;3011;E;
ALB|Albania;3;Total population;4104;2012;2881;E;
ALB|Albania;3;Total population;4104;2015;2897;E;
AND|Andorra;6;Total population;4104;1962;15,38;E;
AND|Andorra;6;Total population;4104;1967;20,75;E;
AND|Andorra;6;Total population;4104;1972;26,89;E;
AND|Andorra;6;Total population;4104;1977;32,77;E;
AND|Andorra;6;Total population;4104;1982;39,11;E;
AND|Andorra;6;Total population;4104;1987;48,46;E;
AND|Andorra;6;Total population;4104;1992;58,9;E;
AND|Andorra;6;Total population;4104;1997;64,15;E;
AND|Andorra;6;Total population;4104;2002;71,05;E;
AND|Andorra;6;Total population;4104;2007;84,88;E;
AND|Andorra;6;Total population;4104;2012;79,32;E;
AND|Andorra;6;Total population;4104;2015;70,47;E;
AUT|Austria;11;Total population;4104;1962;7151;E;
AUT|Austria;11;Total population;4104;1967;7391;E;
AUT|Austria;11;Total population;4104;1972;7574;E;
AUT|Austria;11;Total population;4104;1977;7626;E;
AUT|Austria;11;Total population;4104;1982;7589;E;
AUT|Austria;11;Total population;4104;1987;7624;E;
AUT|Austria;11;Total population;4104;1992;7813;E;
AUT|Austria;11;Total population;4104;1997;8015;E;
AUT|Austria;11;Total population;4104;2002;8115;E;
AUT|Austria;11;Total population;4104;2007;8301;E;
AUT|Austria;11;Total population;4104;2012;8455;E;
AUT|Austria;11;Total population;4104;2015;8545;E;
BLR|Belarus;57;Total population;4104;1992;10235;E;
BLR|Belarus;57;Total population;4104;1997;10091;E;
BLR|Belarus;57;Total population;4104;2002;9826;E;
BLR|Belarus;57;Total population;4104;2007;9556;E;
BLR|Belarus;57;Total population;4104;2012;9491;E;
BLR|Belarus;57;Total population;4104;2015;9496;E;
BEL|Belgium;255;Total population;4104;1962;9193;E;
BEL|Belgium;255;Total population;4104;1967;9476;E;
BEL|Belgium;255;Total population;4104;1972;9651;E;
BEL|Belgium;255;Total population;4104;1977;9752;E;
BEL|Belgium;255;Total population;4104;1982;9821;E;
BEL|Belgium;255;Total population;4104;1987;9868;E;
BEL|Belgium;255;Total population;4104;1992;10016;E;
BEL|Belgium;255;Total population;4104;1997;10193;E;
BEL|Belgium;255;Total population;4104;2002;10365;E;
BEL|Belgium;255;Total population;4104;2007;10705;E;
BEL|Belgium;255;Total population;4104;2012;11080;E;
BEL|Belgium;255;Total population;4104;2015;11299;E;
BIH|Bosnia and Herzegovina;80;Total population;4104;1992;4301;E;
BIH|Bosnia and Herzegovina;80;Total population;4104;1997;3779;E;
BIH|Bosnia and Herzegovina;80;Total population;4104;2002;3808;E;
BIH|Bosnia and Herzegovina;80;Total population;4104;2007;3840;E;
BIH|Bosnia and Herzegovina;80;Total population;4104;2012;3828;E;
BIH|Bosnia and Herzegovina;80;Total population;4104;2015;3810;E;
BGR|Bulgaria;27;Total population;4104;1962;8004;E;
BGR|Bulgaria;27;Total population;4104;1967;8329;E;
BGR|Bulgaria;27;Total population;4104;1972;8597;E;
BGR|Bulgaria;27;Total population;4104;1977;8790;E;
BGR|Bulgaria;27;Total population;4104;1982;8917;E;
BGR|Bulgaria;27;Total population;4104;1987;8944;E;
BGR|Bulgaria;27;Total population;4104;1992;8654;E;
BGR|Bulgaria;27;Total population;4104;1997;8200;E;
BGR|Bulgaria;27;Total population;4104;2002;7869;E;
BGR|Bulgaria;27;Total population;4104;2007;7568;E;
BGR|Bulgaria;27;Total population;4104;2012;7304;E;
BGR|Bulgaria;27;Total population;4104;2015;7150;E;
HRV|Croatia;98;Total population;4104;1992;4733;E;
HRV|Croatia;98;Total population;4104;1997;4532;E;
HRV|Croatia;98;Total population;4104;2002;4397;E;
HRV|Croatia;98;Total population;4104;2007;4357;E;
HRV|Croatia;98;Total population;4104;2012;4287;E;
HRV|Croatia;98;Total population;4104;2015;4240;E;
CYP|Cyprus;50;Total population;4104;1962;577,7;E;
CYP|Cyprus;50;Total population;4104;1967;591,3;E;
CYP|Cyprus;50;Total population;4104;1972;628;E;
CYP|Cyprus;50;Total population;4104;1977;665,5;E;
CYP|Cyprus;50;Total population;4104;1982;691,7;E;
CYP|Cyprus;50;Total population;4104;1987;723,4;E;
CYP|Cyprus;50;Total population;4104;1992;800,7;E;
CYP|Cyprus;50;Total population;4104;1997;890,7;E;
CYP|Cyprus;50;Total population;4104;2002;979,9;E;
CYP|Cyprus;50;Total population;4104;2007;1063;E;
CYP|Cyprus;50;Total population;4104;2012;1129;E;
CYP|Cyprus;50;Total population;4104;2015;1165;E;
CZE|Czechia;167;Total population;4104;1997;10314;E;
CZE|Czechia;167;Total population;4104;2002;10225;E;
CZE|Czechia;167;Total population;4104;2007;10330;E;
CZE|Czechia;167;Total population;4104;2012;10545;E;
CZE|Czechia;167;Total population;4104;2015;10543;E;
DNK|Denmark;54;Total population;4104;1962;4649;E;
DNK|Denmark;54;Total population;4104;1967;4831;E;
DNK|Denmark;54;Total population;4104;1972;4989;E;
DNK|Denmark;54;Total population;4104;1977;5096;E;
DNK|Denmark;54;Total population;4104;1982;5123;E;
DNK|Denmark;54;Total population;4104;1987;5116;E;
DNK|Denmark;54;Total population;4104;1992;5171;E;
DNK|Denmark;54;Total population;4104;1997;5277;E;
DNK|Denmark;54;Total population;4104;2002;5369;E;
DNK|Denmark;54;Total population;4104;2007;5467;E;
DNK|Denmark;54;Total population;4104;2012;5601;E;
DNK|Denmark;54;Total population;4104;2015;5669;E;
EST|Estonia;63;Total population;4104;1992;1521;E;
EST|Estonia;63;Total population;4104;1997;1410;E;
EST|Estonia;63;Total population;4104;2002;1383;E;
EST|Estonia;63;Total population;4104;2007;1344;E;
EST|Estonia;63;Total population;4104;2012;1324;E;
EST|Estonia;63;Total population;4104;2015;1313;E;
FRO|Faroe Islands;64;Total population;4104;1962;35,15;E;
FRO|Faroe Islands;64;Total population;4104;1967;37,26;E;
FRO|Faroe Islands;64;Total population;4104;1972;39,36;E;
FRO|Faroe Islands;64;Total population;4104;1977;41,45;E;
FRO|Faroe Islands;64;Total population;4104;1982;44,1;E;
FRO|Faroe Islands;64;Total population;4104;1987;47,19;E;
FRO|Faroe Islands;64;Total population;4104;1992;46,57;E;
FRO|Faroe Islands;64;Total population;4104;1997;44,47;E;
FRO|Faroe Islands;64;Total population;4104;2002;47,45;E;
FRO|Faroe Islands;64;Total population;4104;2007;48,6;E;
FRO|Faroe Islands;64;Total population;4104;2012;48,39;E;
FRO|Faroe Islands;64;Total population;4104;2015;48,2;E;
FIN|Finland;67;Total population;4104;1962;4495;E;
FIN|Finland;67;Total population;4104;1967;4584;E;
FIN|Finland;67;Total population;4104;1972;4645;E;
FIN|Finland;67;Total population;4104;1977;4739;E;
FIN|Finland;67;Total population;4104;1982;4826;E;
FIN|Finland;67;Total population;4104;1987;4937;E;
FIN|Finland;67;Total population;4104;1992;5035;E;
FIN|Finland;67;Total population;4104;1997;5141;E;
FIN|Finland;67;Total population;4104;2002;5201;E;
FIN|Finland;67;Total population;4104;2007;5289;E;
FIN|Finland;67;Total population;4104;2012;5425;E;
FIN|Finland;67;Total population;4104;2015;5503;E;
FRA|France;68;Total population;4104;1962;47122;E;
FRA|France;68;Total population;4104;1967;49792;E;
FRA|France;68;Total population;4104;1972;51741;E;
FRA|France;68;Total population;4104;1977;53510;E;
FRA|France;68;Total population;4104;1982;54528;E;
